Timestamp;% CPU (global);% CPU (user);% CPU (system);;;;
2740;0.90;0.70;0.20;;;;
2745;1.00;0.50;0.30;;;;
2750;1.00;0.60;0.30;;;;
2755;0.80;0.50;0.20;;;;
2760;0.90;0.50;0.20;;;;
2765;0.90;0.60;0.20;;;;
2770;1.00;0.70;0.20;;;;
2775;0.90;0.50;0.30;;;;
2780;0.80;0.50;0.20;;;;
2785;1.00;0.60;0.30;;;;
2790;0.80;0.50;0.20;;;;
2795;1.00;0.60;0.30;;;;
2800;1.00;0.60;0.20;;;;
2805;1.10;0.60;0.20;;;;
2810;0.80;0.50;0.30;;;;
2815;0.90;0.60;0.20;;;;
2820;0.90;0.50;0.20;;;;
2825;1.00;0.60;0.30;;;;
2830;0.90;0.50;0.20;;;;
2835;1.00;0.60;0.20;;;;
2840;0.80;0.50;0.20;;;;
2845;0.80;0.50;0.20;;;;
2850;0.90;0.60;0.20;;;;
2855;1.40;1.00;0.30;;;;
2860;0.90;0.50;0.30;;;;
2865;0.90;0.50;0.20;;;;
2870;0.90;0.60;0.30;;;;
2875;1.00;0.70;0.20;;;;
2880;0.90;0.60;0.30;;;;
2885;0.90;0.60;0.20;;;;
2890;0.80;0.50;0.20;;;;
2895;1.00;0.60;0.20;;;;
2900;0.90;0.60;0.30;;;;
2905;0.80;0.50;0.20;;;;
2910;0.90;0.50;0.30;;;;
2915;1.00;0.50;0.20;;;;
2920;0.90;0.50;0.20;;;;
2925;0.90;0.50;0.30;;;;
2930;1.10;0.70;0.30;;;;
2935;1.00;0.60;0.30;;;;
2940;0.90;0.50;0.20;;;;
2945;0.90;0.60;0.20;;;;
2950;0.90;0.60;0.20;;;;
2955;0.90;0.50;0.20;;;;
2960;1.70;1.30;0.30;;;;
2965;1.60;1.20;0.30;;;;
2970;0.90;0.60;0.20;;;;
2975;1.00;0.70;0.20;;;;
2980;0.90;0.50;0.30;;;;
2985;1.00;0.60;0.30;;;;
2990;1.50;1.10;0.30;;;;
2995;0.90;0.50;0.20;;;;
3000;0.90;0.60;0.30;;;;
3005;0.80;0.50;0.20;;;;
3010;0.90;0.60;0.10;;;;
3015;1.00;0.50;0.30;;;;
3020;0.90;0.50;0.20;;;;
3025;0.90;0.60;0.20;;;;
3030;0.90;0.60;0.30;;;;
3035;0.90;0.60;0.20;;;;
3040;0.90;0.50;0.20;;;;
3045;0.90;0.60;0.20;;;;
3050;0.90;0.60;0.20;;;;
3055;0.70;0.40;0.20;;;;
3060;0.90;0.60;0.20;;;;
3065;1.00;0.60;0.30;;;;
3070;0.90;0.50;0.20;;;;
3075;0.90;0.50;0.30;;;;
3080;1.00;0.60;0.30;;;;
3085;0.90;0.50;0.20;;;;
3090;0.90;0.60;0.10;;;;
3095;0.90;0.50;0.30;;;;
3100;0.70;0.50;0.20;;;;
3105;0.90;0.50;0.30;;;;
3110;0.90;0.50;0.30;;;;
3115;0.90;0.50;0.30;;;;
3120;1.00;0.60;0.30;;;;
3125;1.40;1.00;0.30;;;;
3130;0.90;0.60;0.20;;;;
3135;1.00;0.60;0.20;;;;
3140;0.90;0.60;0.30;;;;
3145;0.80;0.50;0.20;;;;
3150;0.80;0.50;0.20;;;;
3155;0.90;0.50;0.20;;;;
3160;1.10;0.60;0.20;;;;
3165;0.90;0.60;0.20;;;;
3170;1.00;0.60;0.30;;;;
3175;0.90;0.60;0.20;;;;
3180;0.80;0.50;0.20;;;;
3185;0.90;0.50;0.30;;;;
3190;0.90;0.60;0.20;;;;
3195;1.00;0.60;0.30;;;;
3200;0.90;0.60;0.20;;;;
3205;0.80;0.60;0.10;;;;
3210;1.00;0.60;0.30;;;;
3215;0.80;0.50;0.20;;;;
3220;1.00;0.60;0.30;;;;
3225;0.80;0.50;0.20;;;;
3230;0.90;0.60;0.20;;;;
3235;1.00;0.60;0.20;;;;
3240;1.00;0.60;0.20;;;;
3245;1.00;0.60;0.30;;;;
3250;0.90;0.60;0.30;;;;
3255;0.90;0.60;0.10;;;;
3260;1.60;1.30;0.20;;;;
3265;1.50;1.00;0.30;;;;
3270;0.80;0.50;0.10;;;;
3275;0.90;0.50;0.30;;;;
3280;0.80;0.50;0.20;;;;
3285;1.00;0.60;0.20;;;;
3290;1.00;0.60;0.30;;;;
3295;0.90;0.60;0.20;;;;
3300;0.90;0.60;0.20;;;;
3305;0.80;0.50;0.20;;;;
3310;0.80;0.50;0.20;;;;
3315;0.80;0.50;0.10;;;;
3320;0.90;0.60;0.20;;;;
3325;0.90;0.60;0.20;;;;
3330;1.00;0.60;0.30;;;;
3335;1.20;0.70;0.30;;;;
3340;0.90;0.50;0.30;;;;
3345;0.90;0.60;0.20;;;;
3350;0.80;0.50;0.20;;;;
3355;1.00;0.60;0.30;;;;
3360;0.80;0.60;0.20;;;;
3365;1.00;0.60;0.20;;;;
3370;1.00;0.50;0.30;;;;
3375;0.90;0.60;0.20;;;;
3380;0.80;0.50;0.20;;;;
3385;1.00;0.50;0.30;;;;
