Timestamp;Capacidad disponible;Capacidad utilizada;% Memoria utilizada;;;
639;10403400;897776;7.944093606;;;
640;10403392;897784;7.944164395;;;
641;10403392;897784;7.944164395;;;
642;10403392;897784;7.944164395;;;
643;10403392;897784;7.944164395;;;
644;10403392;897784;7.944164395;;;
645;10403392;897784;7.944164395;;;
646;10403392;897784;7.944164395;;;
647;10403268;897908;7.945261626;;;
648;10403268;897908;7.945261626;;;
649;10403276;897900;7.945190837;;;
650;10403276;897900;7.945190837;;;
651;10403276;897900;7.945190837;;;
652;10403276;897900;7.945190837;;;
653;10403276;897900;7.945190837;;;
654;10403276;897900;7.945190837;;;
655;10403276;897900;7.945190837;;;
656;10403276;897900;7.945190837;;;
657;10403592;897584;7.942394668;;;
658;10403656;897520;7.941828355;;;
659;10403700;897476;7.941439015;;;
660;10403772;897404;7.940801913;;;
661;10403772;897404;7.940801913;;;
662;10403772;897404;7.940801913;;;
663;10403772;897404;7.940801913;;;
664;10403772;897404;7.940801913;;;
665;10403772;897404;7.940801913;;;
666;10403764;897412;7.940872702;;;
667;10403764;897412;7.940872702;;;
668;10403764;897412;7.940872702;;;
669;10403764;897412;7.940872702;;;
670;10403764;897412;7.940872702;;;
671;10403772;897404;7.940801913;;;
672;10403772;897404;7.940801913;;;
673;10403772;897404;7.940801913;;;
674;10403772;897404;7.940801913;;;
675;10403772;897404;7.940801913;;;
676;10403780;897396;7.940731124;;;
677;10403780;897396;7.940731124;;;
678;10403780;897396;7.940731124;;;
679;10403780;897396;7.940731124;;;
680;10403780;897396;7.940731124;;;
681;10403780;897396;7.940731124;;;
682;10403780;897396;7.940731124;;;
683;10403780;897396;7.940731124;;;
684;10403780;897396;7.940731124;;;
685;10403780;897396;7.940731124;;;
686;10403780;897396;7.940731124;;;
687;10403780;897396;7.940731124;;;
688;10403780;897396;7.940731124;;;
689;10403780;897396;7.940731124;;;
690;10403780;897396;7.940731124;;;
691;10403780;897396;7.940731124;;;
692;10403780;897396;7.940731124;;;
693;10403780;897396;7.940731124;;;
694;10403780;897396;7.940731124;;;
695;10403780;897396;7.940731124;;;
696;10403780;897396;7.940731124;;;
697;10403780;897396;7.940731124;;;
698;10403672;897504;7.941686777;;;
699;10403796;897380;7.940589546;;;
700;10403208;897968;7.945792544;;;
701;10403392;897784;7.944164395;;;
702;10403276;897900;7.945190837;;;
703;10403276;897900;7.945190837;;;
704;10403276;897900;7.945190837;;;
705;10403276;897900;7.945190837;;;
706;10403376;897800;7.944305973;;;
707;10403400;897776;7.944093606;;;
708;10403400;897776;7.944093606;;;
709;10403400;897776;7.944093606;;;
710;10403400;897776;7.944093606;;;
711;10403400;897776;7.944093606;;;
712;10403400;897776;7.944093606;;;
713;10403400;897776;7.944093606;;;
714;10403400;897776;7.944093606;;;
715;10403400;897776;7.944093606;;;
716;10403400;897776;7.944093606;;;
717;10403400;897776;7.944093606;;;
718;10403400;897776;7.944093606;;;
719;10403400;897776;7.944093606;;;
720;10403400;897776;7.944093606;;;
721;10403408;897768;7.944022817;;;
722;10403400;897776;7.944093606;;;
723;10403400;897776;7.944093606;;;
724;10403392;897784;7.944164395;;;
725;10403588;897588;7.942430062;;;
726;10403904;897272;7.939633893;;;
727;10403896;897280;7.939704682;;;
728;10403888;897288;7.939775471;;;
729;10403888;897288;7.939775471;;;
730;10403888;897288;7.939775471;;;
731;10403896;897280;7.939704682;;;
732;10403896;897280;7.939704682;;;
733;10403896;897280;7.939704682;;;
734;10403896;897280;7.939704682;;;
735;10403920;897256;7.939492315;;;
736;10403904;897272;7.939633893;;;
737;10403904;897272;7.939633893;;;
738;10403904;897272;7.939633893;;;
739;10403904;897272;7.939633893;;;
740;10403904;897272;7.939633893;;;
741;10403904;897272;7.939633893;;;
742;10403904;897272;7.939633893;;;
743;10403904;897272;7.939633893;;;
744;10403904;897272;7.939633893;;;
745;10403904;897272;7.939633893;;;
746;10403904;897272;7.939633893;;;
747;10403904;897272;7.939633893;;;
748;10403904;897272;7.939633893;;;
749;10403904;897272;7.939633893;;;
750;10403904;897272;7.939633893;;;
751;10403904;897272;7.939633893;;;
752;10403780;897396;7.940731124;;;
753;10403780;897396;7.940731124;;;
754;10403780;897396;7.940731124;;;
755;10403780;897396;7.940731124;;;
756;10403780;897396;7.940731124;;;
757;10403780;897396;7.940731124;;;
758;10403780;897396;7.940731124;;;
759;10403780;897396;7.940731124;;;
760;10403780;897396;7.940731124;;;
761;10403780;897396;7.940731124;;;
762;10403780;897396;7.940731124;;;
763;10403780;897396;7.940731124;;;
