Timestamp;% Memoria utilizada;Capacidad disponible;Capacidad utilizada;;;;
5670;32.81334029;10799108;5274184;;;;
5685;32.81334029;10799108;5274184;;;;
5700;32.81334029;10799108;5274184;;;;
5715;32.80236556;10800872;5272420;;;;
5730;32.79452647;10802132;5271160;;;;
5745;32.79452647;10802132;5271160;;;;
5760;32.79452647;10802132;5271160;;;;
5775;32.79609429;10801880;5271412;;;;
5790;32.79009676;10802844;5270448;;;;
5805;32.78992256;10802872;5270420;;;;
5820;32.78992256;10802872;5270420;;;;
5835;32.74741727;10809704;5263588;;;;
5850;32.85231177;10792844;5280448;;;;
5865;32.89237824;10786404;5286888;;;;
5880;32.89551387;10785900;5287392;;;;
5895;32.89551387;10785900;5287392;;;;
5910;32.89551387;10785900;5287392;;;;
5925;32.8892426;10786908;5286384;;;;
5940;32.82847098;10796676;5276616;;;;
5955;32.8300388;10796424;5276868;;;;
5970;32.82219971;10797684;5275608;;;;
5985;32.84571698;10793904;5279388;;;;
6000;32.84571698;10793904;5279388;;;;
6015;32.84571698;10793904;5279388;;;;
6030;32.84414916;10794156;5279136;;;;
6045;32.85669171;10792140;5281152;;;;
6060;32.85669171;10792140;5281152;;;;
6075;32.85825953;10791888;5281404;;;;
6090;32.85825953;10791888;5281404;;;;
6105;32.86609862;10790628;5282664;;;;
6120;32.86609862;10790628;5282664;;;;
6135;32.90091414;10785032;5288260;;;;
6150;32.86923426;10790124;5283168;;;;
6165;32.88648026;10787352;5285940;;;;
6180;32.88961589;10786848;5286444;;;;
6195;32.88961589;10786848;5286444;;;;
6210;32.88648026;10787352;5285940;;;;
6225;32.88491244;10787604;5285688;;;;
6240;32.85982735;10791636;5281656;;;;
6255;32.86139516;10791384;5281908;;;;
6270;32.86296298;10791132;5282160;;;;
6285;32.86296298;10791132;5282160;;;;
6300;32.83944571;10794912;5278380;;;;
6315;32.84258135;10794408;5278884;;;;
6330;32.84414916;10794156;5279136;;;;
6345;32.84414916;10794156;5279136;;;;
6360;32.85669171;10792140;5281152;;;;
6375;32.86139516;10791384;5281908;;;;
6390;32.86139516;10791384;5281908;;;;
6405;32.86139516;10791384;5281908;;;;
6420;32.83474225;10795668;5277624;;;;
6435;32.8691596;10790136;5283156;;;;
6450;32.95524028;10776300;5296992;;;;
6465;32.9568081;10776048;5297244;;;;
6480;32.90977355;10783608;5289684;;;;
6495;32.91761265;10782348;5290944;;;;
6510;32.91761265;10782348;5290944;;;;
6525;32.92057408;10781872;5291420;;;;
6540;32.92057408;10781872;5291420;;;;
6555;32.9048959;10784392;5288900;;;;
6570;32.9048959;10784392;5288900;;;;
6585;32.90646372;10784140;5289152;;;;
6600;32.90646372;10784140;5289152;;;;
6615;32.89862463;10785400;5287892;;;;
6630;32.90019244;10785148;5288144;;;;
6645;32.90019244;10785148;5288144;;;;
6660;32.90019244;10785148;5288144;;;;
6675;32.91900626;10782124;5291168;;;;
6690;32.91900626;10782124;5291168;;;;
6705;32.91587063;10782628;5290664;;;;
6720;32.91587063;10782628;5290664;;;;
6735;32.90646372;10784140;5289152;;;;
6750;32.91136626;10783352;5289940;;;;
6765;32.90979844;10783604;5289688;;;;
6780;32.90979844;10783604;5289688;;;;
6795;32.88314553;10787888;5285404;;;;
6810;32.90979844;10783604;5289688;;;;
6825;32.90962424;10783632;5289660;;;;
6840;32.8568908;10792108;5281184;;;;
6855;32.85845862;10791856;5281436;;;;
6870;32.83807698;10795132;5278160;;;;
6885;32.83807698;10795132;5278160;;;;
6900;32.83807698;10795132;5278160;;;;
6915;32.83807698;10795132;5278160;;;;
6930;32.83650916;10795384;5277908;;;;
6945;32.83650916;10795384;5277908;;;;
6960;32.83650916;10795384;5277908;;;;
6975;32.83650916;10795384;5277908;;;;
6990;32.81455971;10798912;5274380;;;;
7005;32.81455971;10798912;5274380;;;;
7020;32.81455971;10798912;5274380;;;;
7035;32.88648026;10787352;5285940;;;;
7050;32.8764512;10788964;5284328;;;;
7065;32.87958683;10788460;5284832;;;;
7080;32.87958683;10788460;5284832;;;;
7095;32.87958683;10788460;5284832;;;;
7110;32.87958683;10788460;5284832;;;;
7125;32.89996847;10785184;5288108;;;;
7140;32.89996847;10785184;5288108;;;;
7155;32.89996847;10785184;5288108;;;;
7170;32.89996847;10785184;5288108;;;;
7185;32.83011346;10796412;5276880;;;;
7200;32.83168128;10796160;5277132;;;;
